0:1	Account: mrhung1	 Name: sadadsadsa	 Level: 80	 IP Address: 42.114.31.43 : 50793
11:0	Account: tranvinh05	 Name: 75ÙNhíÙMétÙNg­êi	 Level: 107	 IP Address: 14.245.142.110 : 58182
11:0	Account: tranvinh06	 Name: GÊuÙCon	 Level: 80	 IP Address: 14.245.142.110 : 58184
11:0	Account: tranvinh06	 Name: ThiªnÙ§ŞaÙV«ÙCù	 Level: 107	 IP Address: 14.245.142.110 : 58186
11:1	Account: ctcshxt1	 Name: CTCÙTiÒnÙ01	 Level: 93	 IP Address: 14.245.142.110 : 58188
11:1	Account: ctcshxt2	 Name: CTCÙTiÒnÙ02	 Level: 91	 IP Address: 14.245.142.110 : 58190
11:2	Account: ctcshxt3	 Name: CTCÙTiÒnÙ03	 Level: 91	 IP Address: 14.245.142.110 : 58194
11:2	Account: ctcshxt4	 Name: CTCÙTiÒnÙ04	 Level: 93	 IP Address: 14.245.142.110 : 58196
11:2	Account: ctcshxt5	 Name: CTCÙTiÒnÙ05	 Level: 93	 IP Address: 14.245.142.110 : 58214
11:3	Account: ctcshxt6	 Name: CTCÙTiÒnÙ06	 Level: 93	 IP Address: 14.245.142.110 : 58216
11:3	Account: thangvl10	 Name: 10HáaCaCa	 Level: 102	 IP Address: 14.245.142.110 : 58218
11:4	Account: thangvl9	 Name: 9§écV«Biªn	 Level: 102	 IP Address: 14.245.142.110 : 58220
11:4	Account: thangvl8	 Name: 8ThóyYªnTû	 Level: 101	 IP Address: 14.245.142.110 : 58222
11:4	Account: thangvl7	 Name: 7NgaMiBuffBuff	 Level: 100	 IP Address: 14.245.142.110 : 58224
11:5	Account: thangvl6	 Name: 6Vâ®ang	 Level: 102	 IP Address: 14.245.142.110 : 58227
11:5	Account: thangvl5	 Name: 5TLSuco	 Level: 106	 IP Address: 14.245.142.110 : 58229
11:6	Account: ctc01	 Name: ctc01a	 Level: 80	 IP Address: 14.245.142.110 : 58231
11:6	Account: ctc02	 Name: ctcÙ02	 Level: 80	 IP Address: 14.245.142.110 : 58233
11:37	Account: gamethu	 Name: sadsadasas	 Level: 80	 IP Address: 115.79.255.58 : 50507
11:45	Account: bomsin01	 Name: STYªuMétNg­êi	 Level: 80	 IP Address: 116.111.230.233 : 49652
11:54	Account: bomsin02	 Name: Nh·Ph­¬ng	 Level: 80	 IP Address: 116.111.230.233 : 49750
11:54	Account: bomsin02	 Name: AdminSHXT1	 Level: 80	 IP Address: 116.111.230.233 : 49752
11:54	Account: bomsin03	 Name: §anTr­êng	 Level: 80	 IP Address: 116.111.230.233 : 49754
11:54	Account: bomsin04	 Name: TrÊnThµnh	 Level: 80	 IP Address: 116.111.230.233 : 49756
11:55	Account: bomsin05	 Name: S¬nTïng	 Level: 80	 IP Address: 116.111.230.233 : 49758
12:15	Account: gcity01	 Name: ExitGame	 Level: 83	 IP Address: 42.117.65.88 : 31734
12:16	Account: gcity06	 Name: nvmoi06	 Level: 80	 IP Address: 42.117.65.88 : 22560
