0:1	Account: xebmt004	 Name: XeÙN­ícÙMÝa3	 Level: 92	 IP Address: 27.79.43.143 : 53348
7:45	Account: tranhoangcham2	 Name: AuDuongPhong1	 Level: 80	 IP Address: 14.240.144.233 : 1847
7:47	Account: dm0010	 Name: abcxyz	 Level: 80	 IP Address: 14.168.28.44 : 52317
7:49	Account: tranhoangcham3	 Name: CaITheAnhung	 Level: 80	 IP Address: 14.240.144.233 : 1849
7:49	Account: tranhoangcham3	 Name: chuado12	 Level: 1	 IP Address: 14.240.144.233 : 1851
7:49	Account: usd001	 Name: USD001	 Level: 88	 IP Address: 14.245.58.184 : 5779
7:49	Account: ribi01	 Name: RiBi01	 Level: 104	 IP Address: 14.245.58.184 : 5793
7:50	Account: usd001	 Name: USD001	 Level: 88	 IP Address: 14.245.58.184 : 5796
7:51	Account: tranhoangcham3	 Name: chuado12	 Level: 80	 IP Address: 14.240.144.233 : 1853
7:51	Account: banhang	 Name: 0988207491	 Level: 80	 IP Address: 58.187.66.208 : 65202
7:51	Account: ribi01	 Name: RiBi01	 Level: 104	 IP Address: 14.245.58.184 : 5811
7:52	Account: mapdl4	 Name: §åÙThÇnÙS¸tÙQuû	 Level: 113	 IP Address: 14.234.41.140 : 49176
7:53	Account: dm0003	 Name: dm0003	 Level: 80	 IP Address: 14.234.41.140 : 49184
7:54	Account: mapdl3	 Name: ThiªnÙNhÉn	 Level: 98	 IP Address: 14.234.41.140 : 49188
7:54	Account: xuxuka01	 Name: OÙNyÙNoNgÙNoiÙO	 Level: 80	 IP Address: 42.118.236.167 : 49351
7:54	Account: mapdl2	 Name: TiªnÙTö	 Level: 90	 IP Address: 14.234.41.140 : 49192
7:55	Account: ribi02	 Name: RIBI02	 Level: 101	 IP Address: 14.245.58.184 : 5835
7:55	Account: mapdl4	 Name: §åÙThÇnÙS¸tÙQuû	 Level: 113	 IP Address: 14.234.41.140 : 49198
7:55	Account: ribi06	 Name: 000001	 Level: 80	 IP Address: 14.245.58.184 : 5839
7:56	Account: nd0001	 Name: nd0001	 Level: 82	 IP Address: 14.234.41.140 : 49207
7:58	Account: xuxuka20	 Name: OÙNyÙNogÙNoiÙO	 Level: 82	 IP Address: 42.118.236.167 : 22364
